,Date Added,Task ID,Action,User,Date of Engagement,Status
0,2022-01-22T19:34:43.000Z,vyn,📞 Attended DAO-Wide Call,mgd2,2022-01-19,Approved
1,2022-01-22T19:33:11.000Z,xp6,"👩‍💼 Grants - administration - followup, refinement, onboarding ",mgd2,2022-01-19,Approved
2,2022-01-22T19:36:17.000Z,4x9,🏵 Attended Committee Call,mgd2,2022-01-12,Approved
3,2022-01-24T19:57:47.000Z,w3e,🎳 Posted about us in external/private forum,mgd31,2022-01-19,Approved
4,2022-01-22T19:36:01.000Z,4x9,🏵 Attended Committee Call,mgd2,2022-01-19,Approved
5,2022-01-25T16:14:54.000Z,4x9,🏵 Attended Committee Call,2,2022-01-25,Approved
6,2022-01-22T19:34:23.000Z,ixl,🗳 Vote on a Proposal,mgd2,2022-01-21,Approved
7,2022-01-22T19:34:04.000Z,vap,🧮 Grants - accounting and payments,mgd2,2022-01-14,Approved
8,2022-01-22T18:31:42.000Z,vyn,📞 Attended DAO-Wide Call,1,2022-01-22,Approved
9,2022-01-24T19:55:32.000Z,ecu,🧙‍♂️ Start/Run a Committee,mgd31,2022-01-19,Approved
10,2022-01-26T09:13:51.000Z,4x9,🏵 Attended Committee Call,mgd60,2022-01-25,Approved
11,2022-01-22T19:35:09.000Z,3dm,"🏦 Treasury reports to the DAO (monthly or quarterly) - assets held, money in, money out in the period",mgd2,2022-01-19,Approved
