,Date Added,Task ID,Action,User,Date of Engagement,Status
0,2022-02-02T16:44:44.000Z,vyn,📞 Attended DAO-Wide Call,mgd34,2022-02-02,Approved
1,2022-02-03T11:19:42.000Z,vyn,📞 Attended DAO-Wide Call,mgd60,2022-02-02,Approved
2,2022-02-04T20:16:16.000Z,4x9,🏵 Attended Committee Call,2,2022-02-03,Approved
3,2022-02-03T18:35:38.000Z,vap,🧮 Grants - accounting and payments,mgd34,2022-02-04,Approved
4,2022-02-02T16:06:53.000Z,4x9,🏵 Attended Committee Call,4,2022-02-02,Approved
5,2022-01-29T19:33:58.000Z,fl8,⌗ Enter Movement Model Data (Governance Committee),mgd52,2022-01-28,Approved
6,2022-02-02T16:45:32.000Z,xp6,"👩‍💼 Grants - administration - followup, refinement, onboarding ",mgd34,2022-02-01,Approved
7,2022-02-02T01:28:41.000Z,4x9,🏵 Attended Committee Call,5,2022-01-25,Approved
8,2022-02-04T20:15:51.000Z,4x9,🏵 Attended Committee Call,2,2022-02-03,Approved
9,2022-02-03T18:34:50.000Z,4x9,🏵 Attended Committee Call,mgd34,2022-02-04,Approved
10,2022-02-02T16:07:16.000Z,vyn,📞 Attended DAO-Wide Call,4,2022-02-02,Approved
